item_names,categoria_propia,country,category,item_prices_local_curr,item_prices_usd
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Albania,Food,97.0,1.03
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Algeria,Food,235.0,1.74
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Argentina,Food,1297.0,1.47
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Armenia,Food,626.0,1.62
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Australia,Food,7.0,4.31
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Austria,Food,1.19,1.28
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Azerbaijan,Food,2.18,1.28
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Bangladesh,Food,779.0,7.0
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Belarus,Food,2.56,0.78
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Belgium,Food,2.26,2.43
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Bolivia,Food,10.0,1.48
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Bosnia And Herzegovina,Food,1.61,0.88
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Brazil,Food,5.97,1.17
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Bulgaria,Food,1.88,1.03
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Canada,Food,4.29,3.13
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Chile,Food,1185.0,1.27
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",China,Food,6.0,0.9
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Colombia,Food,3769.0,0.97
