,country,category,item_names,item_prices_local_curr,item_prices_usd,categoria_propia
0,Albania,Food,Basic lunchtime menu (including a drink) in the business district,860.0,9.0,Restaurantes
1,Albania,Food,Combo meal in fast food restaurant (big mac meal or similar),684.0,7.0,Restaurantes
2,Albania,Food,500 gr (1 lb.) of boneless chicken breast,495.0,5.38,"Alimentos, bebidas y tabaco"
3,Albania,Food,1 liter (1 qt.) of whole fat milk,178.0,1.93,"Alimentos, bebidas y tabaco"
4,Albania,Food,"12 eggs, large",382.0,4.15,"Alimentos, bebidas y tabaco"
5,Albania,Food,1 kg (2 lb.) of tomatoes,151.0,1.64,"Alimentos, bebidas y tabaco"
6,Albania,Food,500 gr (16 oz.) of local cheese,671.0,7.0,"Alimentos, bebidas y tabaco"
7,Albania,Food,1 kg (2 lb.) of apples,131.0,1.43,"Alimentos, bebidas y tabaco"
8,Albania,Food,1 kg (2 lb.) of potatoes,105.0,1.14,"Alimentos, bebidas y tabaco"
9,Albania,Food,0.5 l (16 oz) domestic beer in the supermarket,97.0,1.05,"Alimentos, bebidas y tabaco"
10,Albania,Food,"1 bottle of red table wine, good quality",1054.0,11.0,"Alimentos, bebidas y tabaco"
11,Albania,Food,2 liters of coca-cola,190.0,2.07,"Alimentos, bebidas y tabaco"
12,Albania,Food,Bread for 2 people for 1 day,82.0,0.89,"Alimentos, bebidas y tabaco"
13,Albania,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,91804.0,998.0,Alquiler
14,Albania,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,49245.0,535.0,Alquiler
15,Albania,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",13504.0,147.0,Servicios públicos
16,Albania,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,55304.0,601.0,Alquiler
17,Albania,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,174064.0,1893.0,Alquiler
18,Albania,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",11498.0,125.0,Servicios públicos
19,Albania,Housing,Internet 8 mbps (1 month),5611.0,61.0,Comunicaciones
20,Albania,Housing,40” flat screen tv,29173.0,317.0,Electrodomésticos
21,Albania,Housing,"Microwave 800/900 watt (bosch, panasonic, lg, sharp, or equivalent brands)",21880.0,238.0,Electrodomésticos
22,Albania,Housing,Laundry detergent (3 l. ~ 100 oz.),1296.0,14.0,Cuidado personal
23,Albania,Housing,Hourly rate for cleaning help,959.0,10.0,Tarifa horaria trabajo doméstico
24,Albania,Clothes,1 pair of jeans (levis 501 or similar),3917.0,43.0,Ropa y calzado
25,Albania,Clothes,"1 summer dress in a high street store (zara, h&m or similar retailers)",3564.0,39.0,Ropa y calzado
26,Albania,Clothes,"1 pair of sport shoes (nike, adidas, or equivalent brands)",8669.0,94.0,Ropa y calzado
27,Albania,Clothes,1 pair of men’s leather business shoes,12963.0,141.0,Ropa y calzado
28,Albania,Transportation,"Volkswagen golf 1.4 tsi 150 cv (or equivalent), with no extras, new",994106.0,10809.0,Vehículos
29,Albania,Transportation,1 liter (1/4 gallon) of gas,188.0,2.05,Nafta
30,Albania,Transportation,Monthly ticket public transport,1551.0,17.0,Transporte
31,Albania,Personal Care,"Cold medicine for 6 days (tylenol, frenadol, coldrex, or equivalent brands)",200.0,2.17,Cuidado personal
32,Albania,Personal Care,1 box of antibiotics (12 doses),669.0,7.0,Cuidado personal
33,Albania,Personal Care,Short visit to private doctor (15 minutes),2500.0,27.0,Cuidado personal
34,Albania,Personal Care,"1 box of 32 tampons (tampax, ob, ...)",250.0,2.72,Cuidado personal
35,Albania,Personal Care,"Deodorant, roll-on (50ml ~ 1.5 oz.)",375.0,4.08,Cuidado personal
