categoria_propia,pais,precio_relativo
"Alimentos, bebidas y tabaco",Albania,1.183811867125621
Restaurantes,Albania,1.347683789328338
Cuidado personal,Albania,1.461538776314068
Nafta,Albania,0.6815920398009951
Comunicaciones,Albania,0.3666666666666666
Ocio,Albania,1.144301470588235
Ropa y calzado,Albania,1.127676528277215
Electrodomésticos,Albania,0.8492635871752506
Tarifa horaria trabajo doméstico,Albania,1.0
Alquiler,Albania,1.099653548165195
Transporte,Albania,2.058823529411764
Servicios públicos,Albania,0.8259335154826959
Vehículos,Albania,2.63805476864967
"Alimentos, bebidas y tabaco",Algeria,1.660473101467489
Restaurantes,Algeria,1.793346150915519
Cuidado personal,Algeria,2.192269170931018
Nafta,Algeria,4.419354838709678
Comunicaciones,Algeria,1.875
Ocio,Algeria,2.151913875598086
Ropa y calzado,Algeria,1.417089099507869
Electrodomésticos,Algeria,0.9824552607078966
Tarifa horaria trabajo doméstico,Algeria,2.331002331002331
Alquiler,Algeria,1.966430291436233
Transporte,Algeria,4.375
Servicios públicos,Algeria,4.19
Vehículos,Algeria,0.856287239324727
"Alimentos, bebidas y tabaco",Argentina,1.291930589160861
Restaurantes,Argentina,1.247819458498364
Cuidado personal,Argentina,1.388988106781049
Nafta,Argentina,1.473118279569892
Comunicaciones,Argentina,0.8583333333333333
Ocio,Argentina,1.857819074333801
Ropa y calzado,Argentina,0.8928280446071402
Electrodomésticos,Argentina,0.8383849028946577
Tarifa horaria trabajo doméstico,Argentina,2.141327623126339
Alquiler,Argentina,1.834696473226004
Transporte,Argentina,1.346153846153846
Servicios públicos,Argentina,2.712095875139354
Vehículos,Argentina,1.493877332762954
"Alimentos, bebidas y tabaco",Armenia,0.8613100894665235
Restaurantes,Armenia,0.8343726935348604
Cuidado personal,Armenia,1.032467572768506
Nafta,Armenia,1.014814814814815
Comunicaciones,Armenia,2.596153846153846
Ocio,Armenia,0.7133965068747677
Ropa y calzado,Armenia,0.6765955558655147
Electrodomésticos,Armenia,0.6588213488445998
Tarifa horaria trabajo doméstico,Armenia,1.666666666666667
Alquiler,Armenia,0.809404325740853
Transporte,Armenia,1.4
Servicios públicos,Armenia,1.255645944633317
Vehículos,Armenia,5.409953524399691
"Alimentos, bebidas y tabaco",Australia,0.6408251669922835
Restaurantes,Australia,0.6911274325977973
Cuidado personal,Australia,0.7290402213586871
Nafta,Australia,1.030075187969925
Comunicaciones,Australia,0.3844444444444445
Ocio,Australia,0.6212110439625548
Ropa y calzado,Australia,0.7523683972716395
Electrodomésticos,Australia,0.7388337962024615
Tarifa horaria trabajo doméstico,Australia,0.3225806451612903
Alquiler,Australia,0.3994967338670825
Transporte,Australia,0.3026315789473684
Servicios públicos,Australia,0.4998308238876671
Vehículos,Australia,1.083207320383079
"Alimentos, bebidas y tabaco",Austria,0.7677383889770966
Restaurantes,Austria,0.7895425733438084
Cuidado personal,Austria,0.8075659342094317
Nafta,Austria,0.7653631284916201
Comunicaciones,Austria,1.003030303030303
Ocio,Austria,0.6976149566355753
Ropa y calzado,Austria,0.9063151102436816
Electrodomésticos,Austria,0.9996670029741547
Tarifa horaria trabajo doméstico,Austria,0.5263157894736842
Alquiler,Austria,0.6678733493635948
