tipo_dato,pais,Fecha_scrapeo,Tipo de cambio
Sin filtro de tienda oficial,Argentina,2023-11-17,353.87
Sin filtro de tienda oficial,Brasil,2023-11-20,4.85
Sin filtro de tienda oficial,Chile,2023-11-22,871.55
Sin filtro de tienda oficial,Colombia,2023-11-22,4067.81
Sin filtro de tienda oficial,Mexico,2023-11-22,17.2
Sin filtro de tienda oficial,Peru,2023-11-22,3.73
Sin filtro de tienda oficial,Uruguay,2023-11-22,39.11
Filtrado tienda oficial,Argentina,2023-11-17,353.87
Filtrado tienda oficial,Brasil,2023-11-20,4.85
Filtrado tienda oficial,Chile,2023-11-20,878.35
Filtrado tienda oficial,Colombia,2023-11-21,4073.03
Filtrado tienda oficial,Mexico,2023-11-22,17.2
Filtrado tienda oficial,Peru,2023-11-22,3.73
Filtrado tienda oficial,Uruguay,2023-11-22,39.11
Sin filtro de tienda oficial,Argentina blue,2023-11-17,872.61
Filtrado tienda oficial,Argentina blue,2023-11-17,872.61
Filtrado tienda oficial,Argentina,2024-04-21,872.25
Filtrado tienda oficial,Brasil,2024-04-30,5.2
Filtrado tienda oficial,Chile,2024-04-26,951.97
Filtrado tienda oficial,Colombia,2024-04-30,3909.5
Filtrado tienda oficial,Mexico,2024-04-28,17.17
Filtrado tienda oficial,Peru,2024-04-28,3.77
Filtrado tienda oficial,Uruguay,2024-04-30,38.34
Filtrado tienda oficial,Argentina MEP,2024-04-21,1014.98
Sin filtro de tienda oficial,Argentina,2024-04-21,872.25
Sin filtro de tienda oficial,Brasil,2024-04-30,5.2
Sin filtro de tienda oficial,Chile,2024-04-26,951.97
Sin filtro de tienda oficial,Colombia,2024-04-30,3909.5
Sin filtro de tienda oficial,Mexico,2024-04-28,17.17
Sin filtro de tienda oficial,Peru,2024-04-28,3.77
Sin filtro de tienda oficial,Uruguay,2024-04-30,38.34
Sin filtro de tienda oficial,Argentina MEP,2024-04-21,1014.98
