tipo_prenda,producto_buscado_arg
Tejido,Canasta familiar
Plano,Pantalón de jean hombre
Punto,Remera hombre
Plano,Pantalón de jean mujer
Plano,Camisa hombre
Punto,Remera mujer
Plano,Campera hombre
Plano,Campera mujer
Plano,Blusa mujer
Plano,Camisa mujer
Plano,Pantalón de jean niño
Punto,Buzo hombre
Punto,Joggins hombre
Plano,Traje hombre
Punto,Remera bebés
Punto,Remera niños
Punto,Calzoncillo hombre
Punto,Mono mujer
Punto,Vestido mujer
Punto,Buzo niño
Punto,Buzo bebe
Plano,Bermuda hombre
Plano,Traje de baño hombre
Plano,Campera para niños
Plano,Campera para bebés
Plano,Pollera mujer
Punto,Buzo mujer
Punto,Joggins mujer
Punto,Bombacha
Punto,Corpiño
Punto,Medias
Punto,Soquetes
Punto,Vestido bebés
Punto,Vestido niñas
