producto_buscado_arg,precio_indice_argentina,precio_indice_argentina_mep,precio_indice_brasil,precio_indice_chile,precio_indice_colombia,precio_indice_mexico,precio_indice_peru,precio_indice_uruguay
blusa mujer,101.68310751797955,87.38407705822583,51.28744633725398,114.66280525899965,113.52023761905699,79.25608092497392,136.04097171685387,105.23245814286159
camisa mujer,118.73655343341585,102.03940839454695,64.05440045290882,112.47641891140312,93.23977751789604,113.47272480931953,136.6677940697839,80.08888423868854
bombacha,64.78764253012339,55.67698003596141,84.5250317047654,57.054482019255445,186.67500502500224,85.9385878552483,93.6853799683356,92.12151342739301
corpiño,89.52613624609066,76.93666115652769,82.27501149700464,71.96425967990591,114.82299181486289,120.15676305341383,106.27751895617466,104.50345499863812
calzoncillo hombre,76.16295856999609,65.4526597693345,80.84927566855534,92.74024799666303,104.86563733217122,125.87271223092091,82.16986274844102,113.50226402324853
camisa hombre,145.96241867265684,125.43667824708373,69.80355287283683,104.59364488354848,101.10909483417304,94.77492850775903,124.40772693337865,105.31105196830399
campera hombre,165.37612620583147,142.12036304462794,80.6921875456154,95.01522977402168,89.52882014942367,81.9198240307131,133.50327093057243,119.34066756965376
campera mujer,175.6156716679766,150.91998818931668,78.65134124816197,99.04133415303286,91.45978422438161,89.24092698295365,129.36576504690146,112.24084834456849
campera para niños,127.05511712992563,109.18818687715796,104.0424373033614,107.39142760632387,97.4577924640033,121.30224430000655,81.09447485970287,88.71162346660196
campera para bebés,74.06078217862658,63.64609869682836,103.8129129522784,98.82608875649989,104.00690983426684,109.50530220441867,101.78130454446297,82.06748170807325
joggins mujer,84.8912542751337,72.95355232761791,46.43579604306712,74.75662011249906,101.33081607656726,83.61075641167861,93.08508999897597,200.78092135721195
buzo mujer,146.49812034004484,125.89704769217514,31.94681126035971,93.48247003600531,93.69975091715658,129.25093121061872,111.85620918746626,139.76382738839345
joggins hombre,115.76363486029297,99.48455191914182,44.65722335619413,81.6087501040167,106.06835065326638,82.55422219593943,78.31513061480321,206.7963230757801
buzo hombre,147.6503958782421,126.88728625667194,62.104017201448954,117.48128512822763,76.65467613211784,116.65710084183736,100.95726934225655,126.14565135411159
buzo niño,131.29809342728458,112.8345011645045,50.639107281673,55.32309368330054,94.83012896644138,119.04335585600157,143.0201387922456,137.14417542033797
buzo bebe,79.33604448554252,68.17953536278026,72.94678056105515,69.24666093561275,94.40370352903027,123.17303134330527,134.60822508004603,105.62159855095052
medias,81.83168680631401,70.32423182408263,84.57153933260699,73.8371313912308,164.00701588918432,95.98532465472837,80.94109323880761,100.65789549344191
soquetes,62.14350963086177,53.40467425517662,94.60904632683125,78.57966191129863,87.87966784713308,146.2022925182634,113.76507781122068,78.96425358525298
pantalón de jean hombre,147.21079505186555,126.50950361976558,68.4942205225952,90.467249098168807,97.51928593759678,111.99836849145717,111.91004803454948,119.61082791563254
pantalón de jean mujer,137.13536953761184,117.85091930794862,75.38870924627702,84.6250137787964,93.46728520052118,106.22572241506734,171.83867098800724,68.45459837133087
pantalón de jean niño,92.15996203252475,79.20010924635959,97.1705270012711,109.07941389120151,113.2391240982217,129.45180362908255,77.67549964051439,73.3836317397088
pollera mujer,95.97073980100241,82.47500225760558,79.27308744841203,93.827651951924,127.94714840549469,98.93823036077464,91.11849132001369,108.895390513381
remera hombre,129.95684419059202,111.68186303695038,73.57626073556484,97.8794223743871,81.37151836476055,108.78157860023934,110.88121030391618,127.51000962113199
remera mujer,120.77793224980802,103.79372145746217,59.79617136182709,91.01301921456364,82.3415902896322,120.68169871678056,114.49814556909683,131.66937484809964
remera bebés,106.6035354752084,91.61257740866878,73.01701533804909,89.12443975407112,85.44529344981784,110.56740819972528,140.79283745689978,101.0530058014369
remera niños,89.02307085704479,76.50433856337814,58.49397131512744,67.23478398678914,200.28335268954658,117.83194788681723,61.798472996172805,94.35747112554684
bermuda hombre,130.16785835217846,111.86320365690727,58.98811467117778,105.26327223888809,97.53772617051366,109.48707669629508,110.50784220436812,118.2159680187573
traje de baño hombre,108.23979414924088,93.0187397255858,30.306260584079396,84.44499139348474,92.77470532413297,92.87653228019678,106.9346804891336,192.66282992897249
traje hombre,184.1687608163155,158.27031234313117,89.35072752941387,95.90821535904746,96.09587483175571,107.85990982385123,48.007053261021895,162.7782191949098
vestido mujer,94.56735276944522,81.26896436693187,77.94621878927046,112.66932851914287,96.34470412147176,58.25608030559826,121.19537466921011,133.58829359530648
mono mujer,93.01676238191969,79.93642336561258,84.43462629453855,94.62184247951222,86.64506773417803,98.7655737606525,112.54687944215522,122.9860102889635
vestido niñas,63.523822980489406,54.59088316492132,80.9818797923004,88.3155645270025,97.97979216850588,94.87562289371695,107.77987631159189,130.06726430688244
vestido bebés,58.42073203054664,50.205406523916196,62.30137362441196,85.09980500183181,89.3842446972484,96.60946843223535,77.24308237044484,189.36202587382766
