country,item_names,item_prices_usd,categoria_propia
Switzerland,"Meal, Inexpensive Restaurant",27.54,Restaurantes
Denmark,"Meal, Inexpensive Restaurant",21.59,Restaurantes
United States,"Meal, Inexpensive Restaurant",20.0,Restaurantes
Belgium,"Meal, Inexpensive Restaurant",19.32,Restaurantes
Luxembourg,"Meal, Inexpensive Restaurant",19.32,Restaurantes
United Kingdom,"Meal, Inexpensive Restaurant",18.82,Restaurantes
Israel,"Meal, Inexpensive Restaurant",18.81,Restaurantes
Canada,"Meal, Inexpensive Restaurant",18.29,Restaurantes
Norway,"Meal, Inexpensive Restaurant",18.22,Restaurantes
Netherlands,"Meal, Inexpensive Restaurant",17.17,Restaurantes
Ireland,"Meal, Inexpensive Restaurant",17.17,Restaurantes
Australia,"Meal, Inexpensive Restaurant",16.44,Restaurantes
Greece,"Meal, Inexpensive Restaurant",16.1,Restaurantes
Uruguay,"Meal, Inexpensive Restaurant",16.1,Restaurantes
Cyprus,"Meal, Inexpensive Restaurant",16.1,Restaurantes
Austria,"Meal, Inexpensive Restaurant",16.1,Restaurantes
Italy,"Meal, Inexpensive Restaurant",16.1,Restaurantes
Malta,"Meal, Inexpensive Restaurant",16.1,Restaurantes
France,"Meal, Inexpensive Restaurant",16.1,Restaurantes
Finland,"Meal, Inexpensive Restaurant",15.03,Restaurantes
New Zealand,"Meal, Inexpensive Restaurant",14.93,Restaurantes
Germany,"Meal, Inexpensive Restaurant",13.95,Restaurantes
Spain,"Meal, Inexpensive Restaurant",12.88,Restaurantes
Estonia,"Meal, Inexpensive Restaurant",12.88,Restaurantes
Slovenia,"Meal, Inexpensive Restaurant",11.81,Restaurantes
Lithuania,"Meal, Inexpensive Restaurant",11.81,Restaurantes
Sweden,"Meal, Inexpensive Restaurant",11.52,Restaurantes
Singapore,"Meal, Inexpensive Restaurant",11.08,Restaurantes
Portugal,"Meal, Inexpensive Restaurant",10.73,Restaurantes
Latvia,"Meal, Inexpensive Restaurant",10.73,Restaurantes
Bulgaria,"Meal, Inexpensive Restaurant",10.73,Restaurantes
Croatia,"Meal, Inexpensive Restaurant",10.73,Restaurantes
Montenegro,"Meal, Inexpensive Restaurant",10.73,Restaurantes
Albania,"Meal, Inexpensive Restaurant",10.7,Restaurantes
Hungary,"Meal, Inexpensive Restaurant",10.41,Restaurantes
Armenia,"Meal, Inexpensive Restaurant",10.04,Restaurantes
Panama,"Meal, Inexpensive Restaurant",10.0,Restaurantes
Venezuela,"Meal, Inexpensive Restaurant",10.0,Restaurantes
Costa Rica,"Meal, Inexpensive Restaurant",9.82,Restaurantes
Romania,"Meal, Inexpensive Restaurant",9.68,Restaurantes
Mexico,"Meal, Inexpensive Restaurant",9.58,Restaurantes
Georgia,"Meal, Inexpensive Restaurant",9.36,Restaurantes
Kazakhstan,"Meal, Inexpensive Restaurant",9.03,Restaurantes
Hong Kong (China),"Meal, Inexpensive Restaurant",8.96,Restaurantes
Azerbaijan,"Meal, Inexpensive Restaurant",8.82,Restaurantes
Poland,"Meal, Inexpensive Restaurant",8.68,Restaurantes
Slovakia,"Meal, Inexpensive Restaurant",8.59,Restaurantes
Czech Republic,"Meal, Inexpensive Restaurant",8.58,Restaurantes
Chile,"Meal, Inexpensive Restaurant",8.44,Restaurantes
Serbia,"Meal, Inexpensive Restaurant",8.25,Restaurantes
Qatar,"Meal, Inexpensive Restaurant",8.24,Restaurantes
United Arab Emirates,"Meal, Inexpensive Restaurant",8.17,Restaurantes
South Africa,"Meal, Inexpensive Restaurant",8.08,Restaurantes
Turkey,"Meal, Inexpensive Restaurant",7.72,Restaurantes
Belarus,"Meal, Inexpensive Restaurant",7.66,Restaurantes
Russia,"Meal, Inexpensive Restaurant",7.62,Restaurantes
Moldova,"Meal, Inexpensive Restaurant",7.44,Restaurantes
South Korea,"Meal, Inexpensive Restaurant",7.34,Restaurantes
Jordan,"Meal, Inexpensive Restaurant",7.06,Restaurantes
Argentina,"Meal, Inexpensive Restaurant",7.0,Restaurantes
Cuba,"Meal, Inexpensive Restaurant",7.0,Restaurantes
Palestine,"Meal, Inexpensive Restaurant",6.72,Restaurantes
Jamaica,"Meal, Inexpensive Restaurant",6.71,Restaurantes
Saudi Arabia,"Meal, Inexpensive Restaurant",6.67,Restaurantes
Japan,"Meal, Inexpensive Restaurant",6.52,Restaurantes
Kuwait,"Meal, Inexpensive Restaurant",6.5,Restaurantes
Mauritius,"Meal, Inexpensive Restaurant",6.49,Restaurantes
Ukraine,"Meal, Inexpensive Restaurant",6.32,Restaurantes
Brazil,"Meal, Inexpensive Restaurant",5.87,Restaurantes
Bosnia And Herzegovina,"Meal, Inexpensive Restaurant",5.37,Restaurantes
North Macedonia,"Meal, Inexpensive Restaurant",5.23,Restaurantes
Oman,"Meal, Inexpensive Restaurant",5.2,Restaurantes
Uzbekistan,"Meal, Inexpensive Restaurant",5.0,Restaurantes
Taiwan,"Meal, Inexpensive Restaurant",4.64,Restaurantes
Colombia,"Meal, Inexpensive Restaurant",4.61,Restaurantes
Iraq,"Meal, Inexpensive Restaurant",4.59,Restaurantes
Libya,"Meal, Inexpensive Restaurant",4.12,Restaurantes
Peru,"Meal, Inexpensive Restaurant",3.99,Restaurantes
Iran,"Meal, Inexpensive Restaurant",3.78,Restaurantes
Kenya,"Meal, Inexpensive Restaurant",3.71,Restaurantes
Egypt,"Meal, Inexpensive Restaurant",3.6,Restaurantes
Ecuador,"Meal, Inexpensive Restaurant",3.5,Restaurantes
Philippines,"Meal, Inexpensive Restaurant",3.49,Restaurantes
Morocco,"Meal, Inexpensive Restaurant",3.47,Restaurantes
China,"Meal, Inexpensive Restaurant",3.45,Restaurantes
Tunisia,"Meal, Inexpensive Restaurant",3.18,Restaurantes
Sri Lanka,"Meal, Inexpensive Restaurant",3.04,Restaurantes
India,"Meal, Inexpensive Restaurant",3.0,Restaurantes
Malaysia,"Meal, Inexpensive Restaurant",2.95,Restaurantes
Bolivia,"Meal, Inexpensive Restaurant",2.9,Restaurantes
Thailand,"Meal, Inexpensive Restaurant",2.72,Restaurantes
Algeria,"Meal, Inexpensive Restaurant",2.55,Restaurantes
Nigeria,"Meal, Inexpensive Restaurant",2.28,Restaurantes
Vietnam,"Meal, Inexpensive Restaurant",1.97,Restaurantes
Nepal,"Meal, Inexpensive Restaurant",1.88,Restaurantes
Indonesia,"Meal, Inexpensive Restaurant",1.87,Restaurantes
Bangladesh,"Meal, Inexpensive Restaurant",1.83,Restaurantes
Pakistan,"Meal, Inexpensive Restaurant",1.8,Restaurantes
Switzerland,"Meal for 2 People,Mid-range Restaurant, Three-course",126.59,Restaurantes
Denmark,"Meal for 2 People,Mid-range Restaurant, Three-course",100.75,Restaurantes
United States,"Meal for 2 People,Mid-range Restaurant, Three-course",75.0,Restaurantes
Belgium,"Meal for 2 People,Mid-range Restaurant, Three-course",85.87,Restaurantes
Luxembourg,"Meal for 2 People,Mid-range Restaurant, Three-course",85.87,Restaurantes
United Kingdom,"Meal for 2 People,Mid-range Restaurant, Three-course",75.29,Restaurantes
Israel,"Meal for 2 People,Mid-range Restaurant, Three-course",80.6,Restaurantes
Canada,"Meal for 2 People,Mid-range Restaurant, Three-course",73.15,Restaurantes
Norway,"Meal for 2 People,Mid-range Restaurant, Three-course",91.09,Restaurantes
Netherlands,"Meal for 2 People,Mid-range Restaurant, Three-course",75.14,Restaurantes
Ireland,"Meal for 2 People,Mid-range Restaurant, Three-course",85.87,Restaurantes
