categoria_propia,pais,precio_relativo
Restaurantes,Switzerland,0.3413754435670888
"Alimentos, bebidas y tabaco",Switzerland,0.4996799163872814
Transporte,Switzerland,0.2517989558380838
Nafta,Switzerland,0.6699029126213591
Vehículos,Switzerland,0.7527714635735325
Alquiler,Switzerland,0.2500586285243701
Servicios de la vivienda,Switzerland,0.3950674552553249
Comunicaciones,Switzerland,0.4240715322685281
Ocio,Switzerland,0.3935554347697814
Ropa y calzado,Switzerland,0.5699177635812084
Precio metro cuadrado,Switzerland,0.1281254898667316
Enseñanza privada,Switzerland,0.1735396409746086
Restaurantes,Denmark,0.3987943153707952
"Alimentos, bebidas y tabaco",Denmark,0.6448543296600402
Transporte,Denmark,0.3122591471676321
Nafta,Denmark,0.6699029126213591
Vehículos,Denmark,0.6213802788255247
Alquiler,Denmark,0.4538854376921346
Servicios de la vivienda,Denmark,0.4671572884764821
Comunicaciones,Denmark,0.8541938841577497
Ocio,Denmark,0.6648262398789933
Ropa y calzado,Denmark,0.7211435085486265
Precio metro cuadrado,Denmark,0.3875184240998272
Enseñanza privada,Denmark,0.9117523496522794
Restaurantes,United States,0.4942630589152259
"Alimentos, bebidas y tabaco",United States,0.5758792802609005
Transporte,United States,0.4589662835249042
Nafta,United States,1.458333333333333
Vehículos,United States,0.9411187784962545
Alquiler,United States,0.2869504214730152
Servicios de la vivienda,United States,0.4987068755184697
Comunicaciones,United States,0.3680540179989213
Ocio,United States,0.6798361751304199
Ropa y calzado,United States,0.9605596398365197
Precio metro cuadrado,United States,0.605778936054307
Enseñanza privada,United States,0.2728254489326348
Restaurantes,Belgium,0.5407495682993615
"Alimentos, bebidas y tabaco",Belgium,0.7919184012237331
Transporte,Belgium,0.3938819661936495
Nafta,Belgium,0.7379679144385026
Vehículos,Belgium,0.9519273369025556
Alquiler,Belgium,0.5943983529939801
Servicios de la vivienda,Belgium,0.4794520547945206
Comunicaciones,Belgium,0.6604134965022799
Ocio,Belgium,0.8589021142743509
Ropa y calzado,Belgium,0.785011488481343
Precio metro cuadrado,Belgium,0.5355201519939041
Enseñanza privada,Belgium,0.4581521192173491
Restaurantes,Luxembourg,0.4674308643972181
"Alimentos, bebidas y tabaco",Luxembourg,0.7479793760711761
Transporte,Luxembourg,
Nafta,Luxembourg,0.8518518518518517
Vehículos,Luxembourg,0.964796373267046
Alquiler,Luxembourg,0.301083149995147
Servicios de la vivienda,Luxembourg,0.426686706746827
Comunicaciones,Luxembourg,0.6984142806739682
Ocio,Luxembourg,0.7631129159254604
Ropa y calzado,Luxembourg,0.9827161658566805
Precio metro cuadrado,Luxembourg,0.1986843244094149
Enseñanza privada,Luxembourg,0.323065414873456
Restaurantes,United Kingdom,0.5751371656139556
"Alimentos, bebidas y tabaco",United Kingdom,0.7920449579967213
Transporte,United Kingdom,0.4691317454732654
Nafta,United Kingdom,0.7301587301587301
Vehículos,United Kingdom,0.8242644543534545
Alquiler,United Kingdom,0.3904079301130472
Servicios de la vivienda,United Kingdom,0.3248569612205976
Comunicaciones,United Kingdom,0.9456072893587288
Ocio,United Kingdom,0.8895437069280486
Ropa y calzado,United Kingdom,0.9093961545826994
Precio metro cuadrado,United Kingdom,0.3429887074269752
Enseñanza privada,United Kingdom,0.3012682744993068
Restaurantes,Israel,0.435722093187118
"Alimentos, bebidas y tabaco",Israel,0.7195422981703359
Transporte,Israel,0.5955723563767686
Nafta,Israel,0.7225130890052356
Vehículos,Israel,0.7124531964929188
Alquiler,Israel,0.4283277069222612
Servicios de la vivienda,Israel,0.4521923808681032
Comunicaciones,Israel,1.288906823184153
Ocio,Israel,0.6749256607895239
Ropa y calzado,Israel,0.7239729487161589
Precio metro cuadrado,Israel,0.2580457034366617
Enseñanza privada,Israel,0.5530629526280735
Restaurantes,Canada,0.5416911806179184
"Alimentos, bebidas y tabaco",Canada,0.5815259732974105
Transporte,Canada,0.490465274084575
Nafta,Canada,1.196581196581197
Vehículos,Canada,1.230256964750542
Alquiler,Canada,0.3564791150721027
Servicios de la vivienda,Canada,0.6606761910918612
Comunicaciones,Canada,0.4112766658111575
Ocio,Canada,0.7774447054148712
Ropa y calzado,Canada,0.946662578560877
Precio metro cuadrado,Canada,0.3144920434677405
Enseñanza privada,Canada,0.4598796164681198
Restaurantes,Norway,0.4188744179401157
"Alimentos, bebidas y tabaco",Norway,0.5704685873798663
Transporte,Norway,0.3562470884364436
Nafta,Norway,0.7040816326530612
Vehículos,Norway,0.8268058427838612
Alquiler,Norway,0.4711960066813824
Servicios de la vivienda,Norway,0.500734933855953
Comunicaciones,Norway,0.4873874126897001
Ocio,Norway,0.6706185889082105
Ropa y calzado,Norway,0.8049092256850259
Precio metro cuadrado,Norway,0.367026989478127
Enseñanza privada,Norway,1.114415559882639
Restaurantes,Netherlands,0.5179357274143483
"Alimentos, bebidas y tabaco",Netherlands,0.8221785989501631
Transporte,Netherlands,0.3815392091004798
Nafta,Netherlands,0.6666666666666666
Vehículos,Netherlands,0.8690776635564208
Alquiler,Netherlands,0.3682395532262094
Servicios de la vivienda,Netherlands,0.4236620652489326
Comunicaciones,Netherlands,0.6886113714888114
Ocio,Netherlands,0.8248437850340302
Ropa y calzado,Netherlands,0.9432010400214317
Precio metro cuadrado,Netherlands,0.3695530873839228
Enseñanza privada,Netherlands,0.5603114130668243
Restaurantes,Ireland,0.5222953008764454
"Alimentos, bebidas y tabaco",Ireland,0.7262106435345661
Transporte,Ireland,0.4210507296840076
Nafta,Ireland,0.7225130890052356
Vehículos,Ireland,0.7376912025110236
Alquiler,Ireland,0.2868666290861727
Servicios de la vivienda,Ireland,0.4461713088273815
Comunicaciones,Ireland,0.6700631888676813
Ocio,Ireland,0.6727873484607281
Ropa y calzado,Ireland,0.8743423455178065
Precio metro cuadrado,Ireland,0.4259674613104131
Enseñanza privada,Ireland,0.5443061667550121
Restaurantes,Australia,0.4800610430909587
"Alimentos, bebidas y tabaco",Australia,0.5887636672703371
Transporte,Australia,0.4017579630408213
Nafta,Australia,1.129032258064516
Vehículos,Australia,1.124286789247216
Alquiler,Australia,0.3514281353717249
Servicios de la vivienda,Australia,0.4752825187183184
Comunicaciones,Australia,0.5717348263071886
Ocio,Australia,0.7005503745959707
Ropa y calzado,Australia,0.6974771734307816
Precio metro cuadrado,Australia,0.258023511885315
Enseñanza privada,Australia,0.3880625169074867
Restaurantes,Greece,0.7599982210744369
"Alimentos, bebidas y tabaco",Greece,0.8932087233266105
Transporte,Greece,0.7540660014696849
Nafta,Greece,0.6731707317073171
Vehículos,Greece,1.021684019113321
Alquiler,Greece,0.9506294628266954
Servicios de la vivienda,Greece,0.4479116448262261
Comunicaciones,Greece,0.8336232888029762
Ocio,Greece,0.7891725728732711
Ropa y calzado,Greece,0.8932086114201901
Precio metro cuadrado,Greece,0.7239693358363279
Enseñanza privada,Greece,0.7841453018907942
Restaurantes,Uruguay,0.6501158155066812
"Alimentos, bebidas y tabaco",Uruguay,0.7732914759571579
Transporte,Uruguay,0.8326209199676304
Nafta,Uruguay,0.6831683168316831
Vehículos,Uruguay,0.6649299835603333
Alquiler,Uruguay,0.8525722860635658
Servicios de la vivienda,Uruguay,0.7414931437277805
Comunicaciones,Uruguay,0.8281359049356769
Ocio,Uruguay,0.6774505505370442
Ropa y calzado,Uruguay,0.7432946507075663
Precio metro cuadrado,Uruguay,0.8590610803635534
Enseñanza privada,Uruguay,0.8422677873869296
Restaurantes,Cyprus,0.7174003620831343
"Alimentos, bebidas y tabaco",Cyprus,0.8416712251443057
Transporte,Cyprus,0.44366047669043
Nafta,Cyprus,0.9199999999999999
Vehículos,Cyprus,0.964664405104884
Alquiler,Cyprus,0.5008177564169237
Servicios de la vivienda,Cyprus,0.5161094838905161
Comunicaciones,Cyprus,0.8238508795101565
Ocio,Cyprus,0.621697266010055
Ropa y calzado,Cyprus,0.8086846038220079
Precio metro cuadrado,Cyprus,0.73530631656944
Enseñanza privada,Cyprus,0.8168792205140769
Restaurantes,Austria,0.5514763062466869
"Alimentos, bebidas y tabaco",Austria,0.7254708424468286
Transporte,Austria,0.4341345693153114
Nafta,Austria,0.7976878612716762
Vehículos,Austria,1.068652779443255
Alquiler,Austria,0.5431362060590306
Servicios de la vivienda,Austria,0.2903079195545961
